read,delay,Average,Max,Min,Std. Dev,Count > 16.66,Count <= 10
682,7.2,,,,,,
683,6.04,,,,,,
684,10.34,,,,,,
685,7.19,,,,,,
686,4.32,,,,,,
687,8.54,,,,,,
688,5.59,,,,,,
689,11.06,,,,,,
690,8.24,,,,,,
691,5.45,,,,,,
692,9.47,,,,,,
693,7.3,,,,,,
694,11.34,,,,,,
695,8.69,,,,,,
696,5.98,,,,,,
697,10.71,,,,,,
698,8.21,,,,,,
699,6.78,,,,,,
700,18.55,,,,,,
701,8.88,,,,,,
702,6.22,,,,,,
703,10.43,,,,,,
704,9.06,,,,,,
705,6.68,,,,,,
706,10.81,,,,,,
707,8.07,,,,,,
708,5.54,,,,,,
709,10.09,,,,,,
710,7.97,,,,,,
711,4.96,,,,,,
712,9.15,,,,,,
713,6.13,,,,,,
714,11.22,,,,,,
715,8.93,,,,,,
716,6.01,,,,,,
717,10.87,,,,,,
718,7.99,,,,,,
719,5.62,,,,,,
720,11.22,,,,,,
721,8.41,,,,,,
722,5.58,,,,,,
723,9.92,,,,,,
724,6.76,,,,,,
725,4.28,,,,,,
726,9.82,,,,,,
727,6.63,,,,,,
728,10.92,,,,,,
729,7.97,,,,,,
730,4.78,,,,,,
731,10.12,,,,,,
732,7.55,,,,,,
733,11.72,,,,,,
734,8.58,,,,,,
735,5.5,,,,,,
736,10.72,,,,,,
737,8.16,,,,,,
738,5.77,,,,,,
739,10.37,,,,,,
740,7.51,,,,,,
741,5.14,,,,,,
742,10.73,,,,,,
743,8.38,,,,,,
744,5.77,,,,,,
745,10.04,,,,,,
746,6.92,,,,,,
747,4.73,,,,,,
748,9.79,,,,,,
749,6.77,,,,,,
750,11.35,,,,,,
751,8.71,,,,,,
752,5.61,,,,,,
753,10.71,,,,,,
754,7.72,,,,,,
755,5.13,,,,,,
756,9.96,,,,,,
757,7.58,,,,,,
758,4.59,,,,,,
759,10.13,,,,,,
760,7.01,,,,,,
761,11.4,,,,,,
762,8.77,,,,,,
763,6.3,,,,,,
764,11.51,,,,,,
765,8.57,,,,,,
766,6.04,,,,,,
767,10.54,,,,,,
768,7.41,,,,,,
769,4.36,,,,,,
770,9.04,,,,,,
771,6.3,,,,,,
772,4.09,,,,,,
773,9.35,,,,,,
774,6.98,,,,,,
775,4.36,,,,,,
776,8.41,,,,,,
777,5.38,,,,,,
778,10.7,,,,,,
779,8.18,,,,,,
780,5.87,,,,,,
781,10.13,,,,,,
782,6.94,,,,,,
783,4.38,,,,,,
784,10.23,,,,,,
785,7.93,,,,,,
786,5.74,,,,,,
787,10.67,,,,,,
788,7.56,,,,,,
789,6.22,,,,,,
790,11.18,,,,,,
791,8.66,,,,,,
792,5.64,,,,,,
793,9.92,,,,,,
794,7.22,,,,,,
795,5.78,,,,,,
796,9.8,,,,,,
797,7.54,,,,,,
798,4.84,,,,,,
799,8.89,,,,,,
800,6.87,,,,,,
801,11.7,,,,,,
802,9.37,,,,,,
803,6.46,,,,,,
804,4.2,,,,,,
805,9.74,,,,,,
806,7.1,,,,,,
807,11.4,,,,,,
808,8.67,,,,,,
809,6.15,,,,,,
810,11.73,,,,,,
811,9.21,,,,,,
812,6.94,,,,,,
813,11.7,,,,,,
814,8.88,,,,,,
815,5.79,,,,,,
816,11.54,,,,,,
817,8.62,,,,,,
818,6.02,,,,,,
819,10.62,,,,,,
820,8,,,,,,
821,4.79,,,,,,
822,9.99,,,,,,
823,7.14,,,,,,
824,4.86,,,,,,
825,9.54,,,,,,
826,6.6,,,,,,
827,4.12,,,,,,
828,9.93,,,,,,
829,7.3,,,,,,
830,11.9,,,,,,
831,8.98,,,,,,
832,5.87,,,,,,
833,11.72,,,,,,
834,8.75,,,,,,
835,6.08,,,,,,
836,10.84,,,,,,
837,8.5,,,,,,
838,5.73,,,,,,
839,11.3,,,,,,
840,8.2,,,,,,
841,5.74,,,,,,
842,9.93,,,,,,
843,7.35,,,,,,
844,4.84,,,,,,
845,10.17,,,,,,
846,7.5,,,,,,
847,11.63,,,,,,
848,8.68,,,,,,
849,6.44,,,,,,
850,11.75,,,,,,
851,9.21,,,,,,
852,6.88,,,,,,
853,11.81,,,,,,
854,9.28,,,,,,
855,6.95,,,,,,
856,4.36,,,,,,
857,10.32,,,,,,
858,7.31,,,,,,
859,11.9,,,,,,
860,9.14,,,,,,
861,5.95,,,,,,
862,3.76,,,,,,
863,9.16,,,,,,
864,6.03,,,,,,
865,10.67,,,,,,
866,8.4,,,,,,
867,5.62,,,,,,
868,10.96,,,,,,
869,7.86,,,,,,
870,5.4,,,,,,
871,9.59,,,,,,
872,6.95,,,,,,
873,4.41,,,,,,
874,9.65,,,,,,
875,6.62,,,,,,
876,11.17,,,,,,
877,8.45,,,,,,
878,6.26,,,,,,
879,11.42,,,,,,
880,8.54,,,,,,
881,5.87,,,,,,
882,10.21,,,,,,
883,7.18,,,,,,
884,4.72,,,,,,
885,10.45,,,,,,
886,8.23,,,,,,
887,5.35,,,,,,
888,9.76,,,,,,
889,7.16,,,,,,
890,4.5,,,,,,
891,10.2,,,,,,
892,7.68,,,,,,
893,5.31,,,,,,
894,10.08,,,,,,
895,7.66,,,,,,
